url,results
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://script.4dex.io/,good
https://cdn.confiant-integrations.net/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://statics.teams.cdn.office.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://s2s.config.skype.com/,good
https://s2s.config.skype.com/,good
https://eu-mobile.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://assets.msn.com/,good
https://use.config.skype.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://server.events.data.microsoft.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://presence.teams.microsoft.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://gnu.org/,good
https://google.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://eu-mobile.events.data.microsoft.com/,good
https://gnu.org/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://s2s.config.skype.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://s2s.config.skype.com/,good
https://use.config.skype.com/,good
https://eu-mobile.events.data.microsoft.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://a.nel.cloudflare.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://us-east-1.console.aws.amazon.com/,good
https://google.com/,good
https://eu-mobile.events.data.microsoft.com/,good
https://server.events.data.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://d1ufwp9avx6rux.cloudfront.net/,good
https://s3.us-east-1.amazonaws.com/,good
https://s3.us-east-1.amazonaws.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://us-east-1.console.aws.amazon.com/,good
https://presence.teams.microsoft.com/,good
https://us-east-1.console.aws.amazon.com/,good
